time,wx (rad/s),wy (rad/s),wz (rad/s)
6.526,0.02,-0.00,0.00
6.530,0.01,-0.00,0.00
6.530,0.00,0.00,-0.00
6.535,0.00,0.00,-0.00
6.535,-0.01,0.00,-0.00
6.540,-0.01,0.00,0.00
6.540,-0.01,0.01,-0.00
6.545,-0.02,0.01,-0.00
6.545,-0.02,0.01,0.00
6.550,-0.02,0.01,0.00
6.550,-0.02,0.01,0.00
6.554,-0.01,0.00,0.00
6.554,-0.01,0.00,0.01
6.560,-0.01,-0.00,0.01
6.560,-0.00,-0.01,0.01
6.564,0.00,-0.01,0.01
6.564,0.00,-0.01,0.01
6.570,0.00,-0.01,0.01
6.571,0.00,-0.01,0.01
6.574,0.00,-0.01,0.01
6.574,0.00,-0.01,0.01
6.579,-0.00,-0.01,0.01
6.580,-0.01,-0.00,0.01
6.583,-0.01,0.00,0.01
6.583,-0.01,0.00,0.01
6.589,-0.01,0.01,0.01
6.589,-0.02,0.01,0.01
6.594,-0.02,0.01,0.01
6.594,-0.02,0.01,0.01
6.598,-0.02,0.00,0.01
6.599,-0.01,0.01,0.01
6.604,-0.01,0.00,0.01
6.604,-0.01,0.00,0.01
6.608,-0.00,-0.00,0.00
6.609,0.00,-0.00,0.00
6.615,0.00,-0.01,0.00
6.616,0.00,-0.01,0.00
6.621,0.00,-0.01,0.00
6.621,0.00,-0.01,-0.00
6.623,0.00,-0.01,-0.00
6.623,0.00,-0.01,-0.00
6.628,0.00,-0.01,-0.00
6.628,0.00,-0.01,-0.00
6.632,0.00,-0.01,-0.00
6.632,-0.00,-0.00,-0.00
6.637,-0.00,0.00,-0.00
6.637,-0.01,0.00,-0.00
6.642,-0.01,0.01,-0.01
6.642,-0.01,0.01,-0.01
6.648,-0.01,0.01,-0.01
6.648,-0.01,0.01,-0.01
6.652,-0.01,0.01,-0.01
6.653,-0.01,0.01,-0.01
6.657,-0.01,0.02,-0.01
6.657,-0.01,0.01,-0.00
6.661,-0.01,0.01,-0.00
6.662,-0.00,0.01,-0.00
6.666,0.00,0.01,-0.00
6.667,0.00,0.01,-0.00
6.672,0.00,0.01,-0.00
6.672,0.01,0.00,-0.00
6.677,0.01,0.00,-0.00
6.678,0.01,0.00,-0.00
6.682,0.01,-0.00,-0.00
6.682,0.01,-0.00,0.00
6.688,0.01,-0.00,0.00
6.688,0.01,-0.00,-0.00
6.692,0.01,-0.00,0.00
6.692,0.01,-0.00,-0.00
6.696,0.00,0.00,0.00
6.696,0.00,0.00,0.00
6.701,0.00,-0.00,-0.00
6.702,0.00,0.00,-0.00
6.705,-0.00,0.00,0.00
6.705,-0.00,0.01,0.00
6.711,-0.00,0.00,0.00
6.711,-0.01,0.01,0.00
6.715,-0.01,0.01,0.00
6.715,-0.01,0.01,0.00
6.721,-0.01,0.00,0.00
6.721,-0.01,0.00,0.00
6.726,-0.01,0.00,0.00
6.726,-0.01,0.00,0.00
6.731,-0.01,0.00,0.00
6.732,-0.01,0.00,0.00
6.735,-0.00,0.00,0.00
6.735,-0.01,-0.00,0.00
6.740,-0.00,-0.00,0.00
6.740,-0.00,-0.00,0.00
6.744,0.00,-0.00,0.00
6.744,0.00,-0.00,0.00
6.750,0.00,-0.01,0.00
6.751,0.00,-0.01,-0.00
6.756,0.00,-0.01,-0.00
6.757,0.00,-0.01,-0.00
6.760,-0.00,-0.01,-0.00
6.761,-0.00,-0.01,-0.00
6.767,-0.00,-0.01,-0.00
6.768,-0.01,-0.01,-0.00
6.769,-0.01,-0.00,-0.01
6.769,-0.02,0.00,-0.00
6.774,-0.02,0.01,-0.00
6.774,-0.02,0.01,-0.00
6.779,-0.03,0.01,0.00
6.780,-0.04,0.02,0.00
6.783,-0.04,0.02,0.00
6.783,-0.04,0.03,0.00
6.789,-0.04,0.04,0.00
6.790,-0.04,0.05,0.00
6.794,-0.04,0.06,0.00
6.794,-0.04,0.07,0.00
6.799,-0.03,0.08,0.00
6.800,-0.02,0.09,0.00
6.803,-0.02,0.08,0.00
6.803,-0.01,0.07,0.00
6.810,-0.01,0.05,-0.00
6.811,0.00,0.03,-0.00
6.813,0.01,0.01,-0.01
6.813,0.02,0.00,-0.01
6.817,0.02,-0.01,-0.01
6.818,0.03,-0.01,-0.01
6.823,0.03,-0.02,-0.01
6.824,0.03,-0.03,-0.01
6.828,0.03,-0.03,-0.01
6.828,0.02,-0.03,-0.01
6.832,0.02,-0.04,-0.01
6.833,0.01,-0.04,-0.01
6.838,0.00,-0.05,-0.00
6.839,-0.00,-0.05,-0.00
6.842,-0.01,-0.05,-0.00
6.842,-0.02,-0.05,-0.00
6.848,-0.03,-0.04,-0.00
6.849,-0.03,-0.03,-0.00
6.853,-0.04,-0.02,-0.00
6.854,-0.04,-0.01,-0.00
6.857,-0.04,-0.00,-0.00
6.857,-0.03,0.00,-0.00
6.861,-0.03,0.00,-0.00
6.861,-0.02,-0.00,0.00
6.866,-0.01,-0.01,0.00
6.867,-0.00,-0.01,0.00
6.873,0.00,-0.01,0.00
6.873,0.01,-0.01,0.01
6.879,0.02,-0.02,0.01
6.880,0.03,-0.02,0.01
6.884,0.03,-0.02,0.01
6.884,0.04,-0.02,0.01
6.890,0.04,-0.02,0.01
6.891,0.04,-0.01,0.01
6.891,0.03,-0.01,0.01
6.892,0.03,-0.01,0.01
6.896,0.02,-0.01,0.01
6.898,0.01,-0.00,0.01
6.901,0.01,0.00,0.01
6.901,0.00,0.00,0.00
6.906,0.00,0.01,0.01
6.906,-0.00,0.01,0.01
6.910,-0.00,0.01,0.00
6.911,-0.00,0.00,0.00
6.915,-0.01,0.00,0.00
6.916,-0.01,-0.00,0.00
6.920,-0.01,-0.01,0.01
6.921,-0.00,-0.01,0.01
6.926,-0.00,-0.01,0.01
6.926,-0.00,-0.01,0.01
6.932,-0.00,-0.01,0.01
6.933,-0.00,-0.01,0.01
6.935,-0.00,-0.01,0.01
6.935,-0.01,-0.01,0.01
6.941,-0.01,-0.01,0.01
6.941,-0.01,-0.01,0.01
6.944,-0.01,-0.01,0.01
6.945,-0.02,-0.01,0.01
6.950,-0.02,-0.01,0.01
6.950,-0.02,-0.01,0.01
6.955,-0.02,-0.01,0.01
6.956,-0.02,-0.01,0.00
6.960,-0.03,-0.00,0.00
6.960,-0.03,0.00,0.00
6.965,-0.02,0.00,0.00
6.966,-0.02,0.00,0.00
6.969,-0.02,0.00,0.00
6.969,-0.02,0.00,-0.00
6.975,-0.02,0.00,0.00
